FID,POLYGON_ME,X,Y,F2013LIDAR
63,956,"585,686.831975999990000","7,910,692.560619999700000",5.076000213620000
64,915,"585,792.877188000010000","7,910,692.243119999800000",5.059000015260000
65,937,"585,742.553337999970000","7,910,691.608110000400000",5.225999832150000
66,912,"585,796.845945999960000","7,910,691.449360000000000",4.993000030520000
67,946,"585,693.023239000000000","7,910,690.814360000200000",5.039000034330000
68,938,"585,736.056228999980000","7,910,690.728299999600000",5.195000171660000
69,875,"585,816.165859999950000","7,910,690.338109999900000",4.982999801640000
70,919,"585,773.033398999950000","7,910,690.338109999900000",5.012000083920000
71,918,"585,758.269619000030000","7,910,690.179360000400000",5.218999862670000
72,939,"585,727.313306999970000","7,910,689.544359999700000",5.078999996190000
73,866,"585,837.584394000000000","7,910,688.893220000000000",5.083000183110000
74,955,"585,683.180719000050000","7,910,688.591860000000000",4.826000213620000
75,845,"585,901.430656000040000","7,910,687.258360000300000",5.071000099180000
76,865,"585,832.290307000050000","7,910,686.184949999700000",4.967000007630000
77,857,"585,852.376807000020000","7,910,685.512099999900000",5.111000061040000
78,848,"585,867.299337000000000","7,910,684.718349999700000",5.019000053410000
79,844,"585,886.666876000000000","7,910,683.607099999700000",4.815999984740000
80,864,"585,825.389253000030000","7,910,682.654600000000000",4.999000072480000
81,931,"585,779.859661999970000","7,910,682.241849999900000",5.034999847410000
82,847,"585,876.665606000000000","7,910,682.019589999700000",5.085999965670000
83,917,"585,754.935862999990000","7,910,681.924340000400000",5.025000095370000
84,944,"585,728.265809000000000","7,910,681.765590000000000",5.035999774930000
85,775,"585,809.018126999960000","7,910,681.336969999600000",5.038000106810000
86,945,"585,741.283335000040000","7,910,681.289339999700000",5.026999950410000
87,772,"585,799.334357999960000","7,910,681.178220000100000",5.005000114440000
88,950,"585,693.975741000030000","7,910,680.971839999800000",5.106999874110000
89,942,"585,736.565675999970000","7,910,680.672700000000000",5.236999988560000
90,773,"585,803.144364999960000","7,910,679.908219999600000",5.073999881740000
91,771,"585,790.920591000000000","7,910,678.003209999800000",5.110000133510000
92,778,"585,782.983075000000000","7,910,677.368210000000000",5.183000087740000
93,949,"585,695.941412999990000","7,910,677.368110000200000",5.004000186920000
94,943,"585,709.057020999960000","7,910,676.844329999800000",5.152999877930000
95,859,"585,849.519301999940000","7,910,675.987080000300000",5.018000125890000
96,953,"585,688.676756000030000","7,910,675.452069999700000",5.118999958040000
97,846,"585,904.923163000030000","7,910,675.352079999600000",4.847000122070000
98,781,"585,768.536795999970000","7,910,675.304460000200000",5.078000068660000
99,777,"585,778.379316000040000","7,910,674.828209999900000",5.091000080110000
100,954,"585,684.926973000050000","7,910,674.463080000100000",4.916999816890000
101,776,"585,811.399381999970000","7,910,673.716950000300000",5.019999980930000
102,863,"585,836.082309999970000","7,910,673.527979999800000",5.144999980930000
103,958,"585,681.275715000000000","7,910,673.193079999600000",4.916999816890000
104,856,"585,857.774317999950000","7,910,672.970830000000000",5.014999866490000
105,860,"585,826.231349000010000","7,910,671.725159999900000",4.914000034330000
106,780,"585,762.821785000040000","7,910,671.176950000200000",5.039000034330000
107,774,"585,805.217226000040000","7,910,671.128840000400000",5.032000064850000
108,839,"585,904.129410999940000","7,910,671.065820000100000",5.025000095370000
109,948,"585,699.690751999970000","7,910,670.494319999600000",4.991000175480000
110,765,"585,789.918878000000000","7,910,670.313620000100000",4.906000137330000
111,853,"585,872.855597999990000","7,910,668.684569999600000",4.991000175480000
112,838,"585,895.398142999970000","7,910,668.525820000100000",4.955999851230000
113,843,"585,888.254379000050000","7,910,668.525820000100000",4.905000209810000
114,782,"585,816.320641999950000","7,910,668.160690000300000",5.035999774930000
115,952,"585,689.213231000000000","7,910,667.954319999600000",4.880000114440000
116,766,"585,795.032340000030000","7,910,666.865009999800000",4.896999835970000
117,840,"585,911.749426000050000","7,910,666.779559999700000",4.982999801640000
118,957,"585,676.513205999970000","7,910,666.208060000100000",4.796999931340000
119,951,"585,693.975741000030000","7,910,665.890560000200000",4.800000190730000
