point ID,X,Y
87,585640.3520372016,7910341.995404478
88,585643.4888545312,7910350.061506178
89,585632.5846800115,7910338.559842646
90,585632.5846800115,7910352.600834489
91,585638.1114533972,7910354.393301535
92,585614.2118928088,7910344.534732793
93,585614.8093818249,7910349.912133932
94,585605.697674348,7910355.289535057
95,585613.7637760462,7910355.887024071
96,585596.1378501141,7910356.633885339
97,585566.412771632,7910340.651054196
98,585559.8403924713,7910357.231374353
99,585571.6408005105,7910363.50500901
100,585591.5169988992,7910364.480527949
101,585595.9884778596,7910364.699987039
102,585546.2475173846,7910344.385360539
103,585539.2270214614,7910350.808367446
104,585547.442495415,7910361.264425203
105,585526.7649953682,7910341.157324683
106,585520.4061174979,7910356.783257596
107,585525.4847741248,7910369.928015918
108,585533.2521313159,7910366.193709578
109, 585548.48810119,7910375.902906064
110,585535.3433428658,7910389.645153403
111,585544.6044225944,7910384.566496778
112,585705.2730107512,7910350.413750168
113,585711.9220009688,7910338.912794117
114,585699.1631278498,7910331.365291703
115,585693.772054703,7910337.834579483
116,585696.1081863996,7910352.390476987
117,585685.6854449781,7910343.585057512
118,585683.1696108431,7910354.726608686
119,585686.7636596076,7910328.669755131
120,585683.3493132805,7910332.443506334
121,585684.9666352263,7910339.092496552
122,585672.5881795567,7910344.885770492
123,585676.417409895,7910353.841061093
124,585658.954874971,7910357.333568078
125,585665.7811386222,7910360.826075066
126,585645.9373489348,7910363.207329825
127,585633.8723248038,7910362.889829189
128,585652.2873616358,7910372.25609792
129,585660.2248775102,7910371.303596016
130,585622.9185528979,7910360.667324748
131,585606.9715456767,7910368.171559356
132,585610.8535287669,7910369.398592215
133,585698.7500000019,       7910361.5
134,585708.0087230774,7910362.096077602
135,585708.6437243484,7910355.111063633
136,585692.1336913286,7910364.001081411
137,585678.0049130693,7910358.921071254
138,585674.6711564017,7910368.446090303
139,585684.0374251353,7910371.938597288
140,585670.067397194,7910375.748604909
141,585742.1400413401,7910367.176087763
142,585734.8375267358,7910356.698566809
143,585721.2499999981,7910362.750000004
144,585720.8674987946,7910369.557342529
145,585726.5825102255,7910368.287339985
146,585737.5362821333,7910375.113603637
147,585720.0737472065,7910350.507304423
148,585709.2787256166,7910372.891099192
149,585685.6249283087,7910377.971109357
150,585698.8012046637,7910378.129859675
151,585664.8286367171, 7910382.8923692
152,585665.9398889402,7910386.067375544
153,585681.973671007,7910388.289879989
154,585647.6836024262,7910378.606110625
155,585631.8085706774,7910374.319852054
156,585621.0135490876,7910370.50984443
157,585569.6989612114,7910373.512950003
158,585576.7222105041,7910380.352364115
